,Property_Name,Price_in_INR,No_of_Bedroom,Property_type
381,"Lyall Street, London, SW1X",1160809500,3,End of Terrace
382,"Montpelier Square, London, SW7",1160809500,4,Terraced
383,"Greville Place, St John's Wood, London, NW6",1160809500,3,Detached
384,"The Knightsbridge, Knightsbridge, SW7",1160809500,5,Apartment
385,"Knightsbridge Gate, Apartment 2, 55 Knightsbridge, London, SW1X",1160809500,5,Apartment
386,"Bruton Place, Mayfair, London, W1J",1160809500,7,Terraced
387,"Knightsbridge, London, SW1X",1139607500,4,Apartment
388,"Knightsbridge Gate, Apartment 3, 55 Knightsbridge, London, SW1X",1139607500,8,Apartment
389,"Randolph Road, London, W9",1123706000,3,Semi-Detached
390,"Hans Place, Knightsbridge SW1X",1113105000,3,Detached
391,"Egerton Terrace, London, SW3",1113105000,4,Terraced
392,"Hyde Park Street, Hyde Park, London, W2.",1113105000,6,Terraced
393,"Whistler Square, London, SW1W",1113105000,3,Apartment
394,"The Bishops Avenue, N2",1113105000,4,Land for sale
395,"Park Modern, Bayswater Road, Hyde Park, London W2 3JH.",1113105000,2,Apartment
396,"One Kensington Gardens, 18 De Vere Gardens, Kensington, London, W8 5AE",1113105000,5,Apartment
397,"South Street, Mayfair",1113105000,18,House
398,"Park Modern, Apartment 22, 123 Bayswater Road, London, W2",1113105000,3,Apartment
399,"1 Ebury Square, Belgravia, London SW1W",1107804500,3,Flat
400,"8-9 Upper Dock Walk, London, E16 2GU",54595150,3,Apartment
401,"Palace Gardens Terrace, Kensington, London",1107804500,3,Terraced
402,"Beaufort Gardens, London, SW3",1086602500,6,Terraced
403,"Bayswater Road, London, W2",1086602500,5,Apartment
404,"Montrose Place, London, SW1X",1086602500,5,Apartment
405,The Black Lion,1086602500,4,Not Specified
406,"Montrose Place, Belgravia, SW1X",1086602500,5,Flat
407,"Argyll Road, Kensington, London, W8",1060100000,4,Terraced
408,"Bondway, Nine Elms, SW8",1060100000,5,Penthouse
409,"New Globe Walk, London, SE1",1060100000,6,Flat
410,"York House Place, Kensington, London",1060100000,4,Flat
411,"DAMAC Tower, Bondway",1060100000,5,Penthouse
412,"Westminster, London",1060100000,5,Apartment
413,"Totteridge Village, Totteridge, London, N20",1060100000,5,Detached
414,"Frank Dixon Close, London, SE21",1060100000,5,Detached
415,"Palace Gardens Terrace, Kensington, London, W8",1060100000,31,Terraced
416,"Damac Tower Nine Elms London, 71 Bondway, London",1060100000,6,Apartment
417,"Damac Tower, Nine Elms, SW8",1060100000,5,Penthouse
418,"Bondway, Vauxhall",1060100000,5,Penthouse
419,"67 Bondway, London, Surrey, SW8",1060100000,6,Duplex
420,"1 - 9, Sandycombe Road, London, TW9 2EP",1060100000,3,Block of Apartments
421,"Argyll Road, London, W8",1060100000,6,Terraced
422,"The King's Hall, The Sloane Building, Hortensia Road, London, SW10",1060100000,5,Duplex
423,"Ovington Square, London, SW3",1060100000,6,Terraced
424,"Elm Tree Road, London, NW8",1059569950,3,Detached
425,"Montagu Mews North, Marylebone, London, W1H",371035000,8,Mews
426,"Lindfield Gardens, Hampstead, NW3",1059569950,8,Detached
427,"Palace Gardens Terrace, London, W8",1059569950,7,Terraced
