,Property_Name,Price_in_INR,No_of_Bedroom,Property_type
3106,"The Cot-house, 31 Ellen's Glen Road, Edinburgh, EH17 7QL",18021700,3,1 bedroom flat for sale
3107,"Kings Road, Edinburgh",24912350,3,3 bedroom terraced house for sale
3108,"Lammermoor Terrace, The Inch, Edinburgh, EH16",23852250,2,1 bedroom flat for sale
3109,Brandon Terrace,22262100,4,3 bedroom flat for sale
3110,"Glasgow Road, Edinburgh EH12",40177790,3,3 bedroom bungalow for sale
3111,"107 Caroline Terrace, Corstorphine, Edinburgh",16855590,4,1 bedroom flat for sale
3112,"15/9 Piersfield Grove, Piershill, Edinburgh, EH8",5300500,1,Garage for sale
3113,Garage Orchard Brae Gardens,49824700,1,3 bedroom apartment for sale
3114,"Montpelier Park, Bruntsfield, Edinburgh, EH10 4NH",36573450,1,4 bedroom flat for sale
3115,"Lothian Road 2/2, Edinburgh EH3",25972450,3,2 bedroom end of terrace house for sale
3116,"Northfield Drive, Edinburgh EH8",52474950,1,2 bedroom apartment for sale
3117,"Douglas Crescent, West End, Edinburgh, EH12",29152750,6,1 bedroom flat for sale
3118,"Craigcrook Road, Edinburgh EH4",16961600,5,1 bedroom end of terrace house for sale
3119,"38 Stuart Crescent, Craigmount, Edinburgh, EH12",31803000,4,3 bedroom flat for sale
3120,"East Norton Place, Edinburgh EH7",61485800,4,2 bedroom flat for sale
3121,"Flat 1 9 Gorgie Road, Edinburgh, EH11 2FA",30212850,3,1 bedroom flat for sale
3122,"220 (3F2) Bruntsfield Place, Bruntsfield, Edinburgh, EH10 4DE",30212850,5,1 bedroom apartment for sale
3123,"Plot 25 - 67 St Bernard's, Logie Green Road, Edinburgh, EH7",54065100,2,3 bedroom apartment for sale
3124,"Plot 18 - 67 St Bernard's, Logie Green Road, Edinburgh, EH7",16961493,2,1 bedroom flat for sale
3125,"5 South Mellis Park, Edinburgh, EH8",6360600,3,Parking for sale
3126,"Garage 5/3 Laing Terrace, EH15 2DY",31803000,2,2 bedroom apartment for sale
3127,"Thistle Street, Edinburgh, Midlothian",74207000,6,3 bedroom apartment for sale
3128,"Warriston Crescent, Edinburgh",44523669,3,3 bedroom end of terrace house for sale
3129,"Meldrum at West Craigs Quarter Turnhouse Road, Edinburgh EH12",45054250,4,2 bedroom apartment for sale
3130,"Inverleith Row, Edinburgh, Midlothian",302128500,4,4 bedroom detached house for sale
3131,"St. Bernard's Cottage, 11 Mackenzie Place, Edinburgh, EH3",33923200,4,3 bedroom apartment for sale
3132,"Ellis Drive, Longstone, Edinburgh, EH14 2AE",90108500,2,4 bedroom detached house for sale
3133,"36 Cammo Road, Cammo, Edinburgh, EH4",13940315,3,1 bedroom flat for sale
3134,"Sloan Street, Edinburgh EH6",17544655,2,1 bedroom flat for sale
3135,"Leslie Place, Edinburgh EH4",21732050,4,1 bedroom flat for sale
3136,"Edina Street, Edinburgh EH7",35513350,4,3 bedroom flat for sale
3137,"2/6 Bath Street, Portobello, EH15 1EY",28617399,2,1 bedroom flat for sale
3138,"Gosford Place, Edinburgh EH6",84701990,2,6 bedroom detached house for sale
3139,"14 White Dales, Fairmilehead, Edinburgh, EH10 7JQ",74100990,2,5 bedroom detached house for sale
3140,"3 Hillpark Rise, Blackhall, EH4 7BB",39647740,2,4 bedroom townhouse for sale
3141,"Larchwood Square, Clermiston, Edinburgh, EH12 8WT",63075950,4,4 bedroom flat for sale
3142,"17 Flat 1 Howe Street, Edinburgh, EH3",22262100,1,3 bedroom flat for sale
3143,"178 Oxgangs Road North, Edinburgh, EH13",119261250,3,5 bedroom terraced house for sale
3144,"Blackford Avenue, Edinburgh",37633550,2,2 bedroom apartment for sale
3145,"Learmonth Gardens, Comely Bank, Edinburgh",36043400,1,2 bedroom flat for sale
3146,"15/12 West Tollcross, Edinburgh, EH3",22792150,6,3 bedroom flat for sale
3147,"94 Broomhall Avenue, Edinburgh, EH12",55655250,4,2 bedroom apartment for sale
3148,"Great King Street, Edinburgh, Midlothian",211489950,2,6 bedroom detached house for sale
3149,"West Castle Road, Edinburgh",43464100,2,3 bedroom penthouse for sale
3150,"Ocean Drive, The Shore, Edinburgh EH6",87458250,2,4 bedroom terraced house for sale
3151,"7 Lockharton Avenue, Craiglockhart, Edinburgh, EH14 1AY",63075950,4,4 bedroom terraced house for sale
3152,"Cambridge Avenue, Edinburgh",56185300,2,4 bedroom flat for sale
3153,"26 Clark Avenue, Edinburgh, EH5 3AU",34453250,2,2 bedroom flat for sale
3154,"43/1 Mortonhall Road, Grange, Edinburgh, EH9 2HN",32863100,3,3 bedroom duplex for sale
3155,"1/2B, Robertson Avenue, Edinburgh, EH11 1PZ",29152750,4,2 bedroom flat for sale
3156,"2/11 Portland Row, Brittania Quay, Edinburgh, EH6 6NH",62015850,6,4 bedroom detached villa for sale
3157,"Clayhills Park, Balerno EH14",31272950,5,4 bedroom duplex for sale
3158,"Chesser Gardens, Chesser, Edinburgh, EH14",24382300,4,2 bedroom ground floor flat for sale
3159,"10/2 Hermand Street, Edinburgh, EH11 1LR",38693650,4,2 bedroom flat for sale
3160,82/2 Ashley Terrace EH11 1RT,15901500,5,2 bedroom flat for sale
3161,"5/5 Loganlea Terrace, Craigentinny, Edinburgh, EH7 6NU",23852250,3,2 bedroom flat for sale
3162,"Richmond Place, Edinburgh EH8",47704500,2,4 bedroom detached bungalow for sale
3163,"Glasgow Road, Edinburgh EH12",17491650,4,1 bedroom flat for sale
3164,"91/4 Laichpark Road, Edinburgh, EH14 1XA",34983300,3,3 bedroom semi-detached house for sale
3165,"47 Clerwood Park, Edinburgh, EH12 8PP",31802893,3,2 bedroom apartment for sale
3166,"Academy Lofts, 9 (Apt 9) Duncan Place, Leith Links, Edinburgh",23322200,4,1 bedroom flat for sale
3167,"9/6 Holyrood Road, Old Town, EH8 8AE",73146900,2,6 bedroom flat for sale
3168,"50 East Claremont Street, Edinburgh, EH7 4JR",65196150,3,4 bedroom detached house for sale
3169,"5 Ladywell Avenue, Edinburgh EH12 7LG",29152750,1,2 bedroom flat for sale
3170,"3F1, 35 West Preston Street, Newington, EH8 9PY",19081800,2,2 bedroom terraced house for sale
3171,"The Murrays Brae, LIberton, Edinburgh, EH17",21202000,1,2 bedroom flat for sale
3172,"119 Colinton Mains Road, Edinburgh, EH13 9DL",135162750,3,4 bedroom detached house for sale
3173,"Cumin Place, Edinburgh, EH9",27032550,3,2 bedroom flat for sale
3174,"Chesser Loan, Edinburgh EH14",42404000,4,2 bedroom apartment for sale
3175,"The Spires, Eastfield Road, Brentwood, Essex, CM14",47704500,4,3 bedroom semi-detached bungalow for sale
3176,"Clavering Gardens, West Horndon, Brentwood",265025000,4,4 bedroom detached house for sale
3177,"Sandpit Lane, Pilgrims Hatch, Brentwood, CM14",127212000,4,6 bedroom detached house for sale
3178,"Mount Crescent, Warley, Brentwood",304778750,2,5 bedroom detached house for sale
3179,"Thorndon Approach, Herongate, Brentwood",94878950,2,4 bedroom cottage for sale
3180,"Navestockside, Brentwood",84808000,1,4 bedroom detached house for sale
3181,"Honeypot Lane, Brentwood, CM14",84808000,2,5 bedroom detached house for sale
3182,"Honeypot Lane, Brentwood, Essex, CM14",55655250,2,3 bedroom detached house for sale
3183,"King Georges Road, Brentwood CM15",63606000,2,2 bedroom detached bungalow for sale
3184,"Foxes Grove, Hutton, Brentwood",90108500,1,4 bedroom detached house for sale
3185,"Mulberry Hill, Shenfield, Brentwood",62015850,1,3 bedroom detached house for sale
3186,"The Gardens, Doddinghurst, Brentwood",73676950,1,3 bedroom semi-detached house for sale
3187,"Harpers Lane, Doddinghurst, Brentwood",66256250,3,4 bedroom link detached house for sale
3188,"Elm Gardens, Mountnessing, Brentwood",26502500,3,2 bedroom apartment for sale
3189,"Mayfield Gardens, Brentwood",56715350,5,3 bedroom terraced house for sale
3190,"Ongar Road, Brentwood, CM15",24382300,5,1 bedroom apartment for sale
3191,"New Road, Brentwood, CM14",45054250,5,2 bedroom apartment for sale
3192,"Rudyard Court, Kipling Close, CM14",13781300,4,1 bedroom retirement property for sale
3193,"Sawyers Hall Lane, Brentwood CM15",55655250,2,3 bedroom detached house for sale
3194,"King Georges Road, Pilgrims Hatch, Brentwood, Essex, CM15",58305500,1,3 bedroom semi-detached house for sale
3195,"Western Avenue, Brentwood, Essex, CM14",90108500,2,4 bedroom detached house for sale
3196,"Pittman Close, Ingrave, CM13",58305500,4,4 bedroom semi-detached house for sale
3197,"Elm Gardens, Mountnessing, CM15",74207000,4,4 bedroom detached house for sale
3198,"Brentwood Road, Ingrave, Brentwood, Essex, CM13",66256250,2,4 bedroom detached house for sale
3199,"Brackens Drive, Warley, Brentwood, Essex, CM14",42404000,4,2 bedroom apartment for sale
3200,"The Spires, Eastfield Road, Brentwood, Essex, CM14",47174450,3,2 bedroom apartment for sale
3201,"Plot 9 at Brentwood Central, Western Road CM14",31272950,3,1 bedroom apartment for sale
3202,"Plot 39 at Brentwood Central, Western Road CM14",49824700,2,2 bedroom apartment for sale
3203,"Plot 30 at Brentwood Central, Western Road CM14",44523669,2,2 bedroom apartment for sale
3204,"Plot 13 at Brentwood Central, Western Road CM14",42350995,4,2 bedroom apartment for sale
3205,"Plot 17 at Brentwood Central, Western Road CM14",35513350,1,1 bedroom apartment for sale
3206,"Plot 11 at Brentwood Central, Western Road CM14",32333050,3,1 bedroom apartment for sale
3207,"Plot 16 at Brentwood Central, Western Road CM14",24382300,3,1 bedroom flat for sale
3208,"Warley Hill, Brentwood CM14",62015850,4,3 bedroom semi-detached house for sale
3209,"Burntwood Way, Brentwood CM14",68906500,4,3 bedroom semi-detached house for sale
3210,"York Road, Shenfield, Brentwood",185517500,1,5 bedroom detached house for sale
3211,"Warley Hill, Great Warley, Brentwood",106010000,5,5 bedroom detached house for sale
3212,"Outings Lane, Doddinghurst, Brentwood",132512500,3,5 bedroom detached house for sale
3213,"Hanover Place, Warley, CM14",90108500,3,4 bedroom semi-detached house for sale
3214,"Hillside Walk, Brentwood, CM14",42404000,4,2 bedroom detached house for sale
3215,"Hope Close, Mountnessing, Brentwood, Essex",22792150,1,1 bedroom apartment for sale
3216,"Gresham Close, Brentwood, CM14",39753750,5,2 bedroom apartment for sale
3217,"Kings Road, Brentwood, Essex, CM14",132512500,3,4 bedroom detached house for sale
3218,"Chelmsford Road, Brentwood CM15",84808000,1,4 bedroom semi-detached house for sale
3219,"Hanging Hill Lane, Hutton, CM13",31803000,4,2 bedroom apartment for sale
3220,"Sawyers Hall Lane, Brentwood, CM15",76857250,2,4 bedroom semi-detached house for sale
3221,"Brook Road, Brentwood, CM14",60955750,,3 bedroom bungalow for sale
3222,"Elmtree Avenue, Kelvedon Hatch, Brentwood",81097650,3,3 bedroom terraced house for sale
3223,"Brizes Park, Ongar Road, Kelvedon Hatch, Brentwood, CM14",45054250,4,2 bedroom apartment for sale
3224,"Domos Place, Ongar Road, Kelvedon Hatch",37103500,3,2 bedroom terraced house for sale
3225,"North Road Avenue, Brentwood",73676950,2,4 bedroom semi-detached house for sale
3226,"Ongar Road, Pilgrims Hatch, Brentwood",36043400,3,1 bedroom apartment for sale
3227,"High Street, Brentwood, CM14",60955750,4,3 bedroom bungalow for sale
3228,"Elmtree Avenue, Kelvedon Hatch, Brentwood, Essex",60955750,3,3 bedroom bungalow for sale
3229,"Doddinghurst Road, Doddinghurst, Brentwood, Essex, CM15",132512500,3,4 bedroom detached house for sale
3230,"Brook Lane, Doddinghurst, Brentwood, Essex, CM15",60955750,4,4 bedroom semi-detached house for sale
3231,"Greenway, Harold Wood, Romford, Essex RM3",16961600,4,1 bedroom apartment for sale
3232,"Heideck Gardens, Hutton, CM13",76857250,3,5 bedroom detached house for sale
3233,"Southall Way, Brentwood",50354750,3,3 bedroom semi-detached house for sale
3234,"The Broad Walk North, Brentwood, Essex, CM13",58305500,3,3 bedroom semi-detached bungalow for sale
3235,"Fyfield Close, West Horndon",127212000,6,4 bedroom detached house for sale
3236,"London Road, Brentwood, CM14",24382300,1,1 bedroom apartment for sale
3237,"Rosen Crescent, Hutton, Brentwood",66256250,4,5 bedroom semi-detached house for sale
3238,"Church Lane, Doddinghurst, Brentwood",63606000,3,3 bedroom detached house for sale
3239,"Barn Mead, Doddinghurst, Brentwood",24912350,4,1 bedroom apartment for sale
3240,"Hubert Road, Brentwood",63606000,4,4 bedroom semi-detached house for sale
3241,"Cadogan Avenue, West Horndon, Brentwood",30212850,4,2 bedroom apartment for sale
3242,"Tern Way, Brentwood",71556750,4,Land for sale
3243,"Rectory Chase, Doddinghurst, CM15",56715350,2,3 bedroom apartment for sale
3244,"The Galleries, Warley, CM14",105479950,2,4 bedroom detached house for sale
3245,"School Road, Brentwood CM15",59895650,2,3 bedroom semi-detached house for sale
3246,"Chelmer Drive, Brentwood CM13",42404000,2,2 bedroom apartment for sale
3247,"The Spires, Eastfield Road, Brentwood, Essex, CM14",65726200,3,3 bedroom semi-detached house for sale
3248,"Gordon Road, Shenfield, Brentwood, CM15",132512500,3,4 bedroom detached house for sale
3249,"Shenfield Gardens, Hutton, Brentwood, CM13",50354750,2,3 bedroom flat for sale
3250,"Booths Court, Poplar Drive, Hutton",39753750,3,3 bedroom terraced house for sale
3251,"Wainwright Avenue, Hutton, Brentwood",95409000,3,4 bedroom detached house for sale
3252,"Lyndhurst Way, Hutton, Brentwood",90108500,4,4 bedroom terraced house for sale
3253,"St. Thomas Road, Brentwood",45054250,3,3 bedroom terraced house for sale
3254,"Glovers Field, Kelvedon Hatch, Brentwood",55655250,2,3 bedroom detached house for sale
3255,"Blenheim Road, Pilgrims Hatch, CM15",60425169,2,3 bedroom end of terrace house for sale
3256,"Warley Hill, Great Warley, CM13",583055000,2,6 bedroom detached house for sale
3257,"Ridgeway, Brentwood CM13",30212850,5,1 bedroom apartment for sale
3258,"London Court, The Galleries, CM14",84808000,2,4 bedroom detached house for sale
3259,"Collins Way, Hutton, Brentwood",53005000,2,3 bedroom semi-detached house for sale
3260,"Barn Mead, Doddinghurst, CM15",84808000,4,4 bedroom detached house for sale
3261,"Collins Way, Brentwood",84808000,2,4 bedroom detached house for sale
3262,"Collins Way, Hutton, Brentwood, Essex, CM13",84808000,4,4 bedroom detached house for sale
3263,"Collins Way, Hutton, CM13",95409000,2,4 bedroom terraced house for sale
3264,"Rhapsody Crescent, Warley, Brentwood",50354750,1,2 bedroom apartment for sale
3265,"Thorndon Park, Ingrave, Brentwood, CM13",45054250,2,2 bedroom terraced house for sale
3266,"Brackens Drive, Warley, CM14",25442400,3,2 bedroom maisonette for sale
3267,"Hart Street, Brentwood CM14",68906500,2,2 bedroom terraced house for sale
3268,"Brizes Park, Ongar Road, Kelvedon Hatch, Brentwood, CM14",39753750,3,3 bedroom terraced house for sale
3269,"Claughton Way, Hutton, CM13",79507500,4,3 bedroom detached bungalow for sale
3270,"Off Park Avenue, Hutton, Brentwood",68906500,3,2 bedroom terraced house for sale
3271,"Brizes Park, Ongar Road, Kelvedon Hatch, Brentwood, CM14",50354750,2,3 bedroom semi-detached house for sale
3272,"Western Avenue, Brentwood",51944900,5,3 bedroom semi-detached house for sale
3273,"Bonningtons, Brentwood CM13",371035000,5,4 bedroom detached house for sale
3274,"Hay Green Lane, Blackmore, CM4",48764600,4,3 bedroom terraced house for sale
3275,"Clarence Road, Pilgrims Hatch, Brentwood, Essex, CM15",29152750,4,2 bedroom flat for sale
3276,"Ongar Road, BRENTWOOD",37103500,1,2 bedroom apartment for sale
3277,"Crescent Road, Warley, CM14",45054250,1,2 bedroom terraced house for sale
3278,"Tyler Way, Brentwood, CM14",238522500,2,5 bedroom detached house for sale
3279,"Weald Park Way, South Weald, Brentwood",37102969,3,2 bedroom retirement property for sale
3280,"Ongar Road, Brentwood",41343900,5,2 bedroom maisonette for sale
3281,"Westbury Road, Brentwood",111310500,4,4 bedroom detached house for sale
3282,"Selwood Road, Brentwood, CM14",37103500,3,2 bedroom apartment for sale
3283,"Ongar Road, Brentwood, Essex, CM15",286227000,2,4 bedroom detached house for sale
3284,"Warley Road, Great Warley, CM13",82157750,4,2 bedroom bungalow for sale
3285,"Burses Way, Hutton, CM13",29682800,4,1 bedroom flat for sale
3286,"Brackens Drive,Warley, Brentwood, CM14",29152750,3,2 bedroom apartment for sale
3287,"Hubert Road, Brentwood, CM14",50354750,3,3 bedroom semi-detached house for sale
3288,"St. Kildas Road, Brentwood, Essex, CM15",42403469,2,2 bedroom apartment for sale
3289,"Milan Walk, Brentwood, CM14",50354750,2,3 bedroom terraced house for sale
3290,"Coxtie Green Road, Pilgrims Hatch, Brentwood",58305500,3,4 bedroom semi-detached house for sale
3291,"The Meadows, Ingrave, Brentwood",44524200,5,3 bedroom terraced house for sale
3292,"Crow Green Lane, Pilgrims Hatch, Brentwood",30212850,1,2 bedroom apartment for sale
3293,"Hubert Road, Brentwood, Essex, CM14",76857250,3,5 bedroom semi-detached house for sale
3294,"Danes Way, Brentwood CM15",371035000,4,5 bedroom detached house for sale
3295,Brentwood CM13,63606000,4,4 bedroom detached house for sale
3296,"Kelvedon Green, Kelvedon Hatch, Brentwood, Essex, CM15",63606000,5,4 bedroom detached house for sale
3297,"Brentwood Place, Brentwood",16961600,4,1 bedroom apartment for sale
3298,"Thorndon Avenue, West Horndon, CM13",12721200,5,1 bedroom retirement property for sale
3299,"Sawyers Hall Lane, Brentwood CM15",38163600,4,2 bedroom semi-detached house for sale
3300,"Thrift Green, Brentwood, CM13",58305500,4,3 bedroom detached house for sale
3301,"Brackens Drive, Brentwood CM14",100709500,3,5 bedroom detached house for sale
3302,"Common Road, Ingrave, Brentwood, Essex, CM13",95409000,3,4 bedroom semi-detached house for sale
3303,"Priests Lane, Shenfield, Brentwood",68906500,2,3 bedroom detached house for sale
3304,"Hook End, Mill Lane, Brentwood",35248325,1,2 bedroom apartment for sale
3305,"Florence Close, Great Warley, CM13",116611000,2,4 bedroom detached house for sale
3306,"Headley Chase, Warley, CM14",74207000,3,4 bedroom detached house for sale
3307,"River Court, Mountnessing, CM15",51414850,5,3 bedroom bungalow for sale
3308,"Catherine Close, Pilgrims Hatch, CM15",68906500,2,3 bedroom semi-detached house for sale
3309,"Mascalls Lane, Great Warley, CM14",53005000,3,2 bedroom semi-detached house for sale
3310,"Hutton Village, Hutton, Brentwood",37103500,4,2 bedroom apartment for sale
3311,"Albert Court, The Galleries, CM14",63075950,4,3 bedroom semi-detached house for sale
3312,"Woodland Avenue, Hutton, CM13",143113500,1,5 bedroom detached house for sale
3313,"Nags Head Lane, Brentwood, Essex, CM14",26502500,3,1 bedroom apartment for sale
3314,"Barnston Way, Hutton, CM13",55655250,3,3 bedroom end of terrace house for sale
3315,"Westwood Avenue, Brentwood",106010000,3,4 bedroom semi-detached house for sale
3316,"London Road, Brentwood",132512500,2,4 bedroom detached house for sale
3317,"* SIGNATURE HOME * Great Warley Street, Great Warley, Brentwood",174916500,3,5 bedroom detached house for sale
3318,"Roundwood Grove, Hutton Mount, Brentwood",87458250,4,4 bedroom detached house for sale
3319,"Hunter Avenue, Shenfield, Brentwood",233222000,2,5 bedroom detached house for sale
3320,"Heronway, Hutton Mount, Brentwood",227921500,4,4 bedroom detached house for sale
3321,"Mill Hill, Shenfield, Brentwood",100709500,3,4 bedroom detached house for sale
3322,"Spurgate, Hutton, CM13",63606000,2,3 bedroom apartment for sale
3323,"Chelmsford Road, Shenfield, CM15",58305500,2,3 bedroom bungalow for sale
3324,"Hogarth Avenue, Brentwood, CM15",42350995,2,2 bedroom apartment for sale
3325,"Kipling Close, Warley, CM14",31803000,3,1 bedroom apartment for sale
3326,"The Galleries, Warley, CM14",34453250,2,2 bedroom penthouse for sale
3327,"Ingrave Road, Brentwood, CM15",57775450,2,3 bedroom semi-detached house for sale
3328,"Clavering Gardens, Brentwood CM13",135162750,3,5 bedroom detached house for sale
3329,"Headley Chase, Brentwood CM14",42404000,2,2 bedroom terraced house for sale
3330,"Great Eastern Road, Warley, Brentwood, Essex, CM14",74207000,2,3 bedroom bungalow for sale
3331,"Pear Trees, Ingrave, Brentwood, Essex, CM13",132512500,2,4 bedroom detached house for sale
3332,"Great Warley Street, Great Warley, CM13",159015000,4,4 bedroom detached bungalow for sale
3333,"Mores Lane, Pilgrims Hatch, Brentwood",19081800,2,1 bedroom apartment for sale
3334,"Junction Road, Warley, Brentwood",53005000,1,3 bedroom semi-detached house for sale
3335,"Glovers Field, Kelvedon Hatch, Brentwood",55125200,2,3 bedroom terraced house for sale
3336,"Wyatts Green Lane, Wyatts Green, Brentwood",47704500,5,3 bedroom end of terrace house for sale
3337,"Coxtie Green Road, Pilgrims Hatch, Brentwood",30742900,4,2 bedroom apartment for sale
3338,"The Courtyard, Brentwood, CM15",43994150,3,3 bedroom terraced house for sale
3339,"Lascelles Close, Pilgrims Hatch, Brentwood",126681950,2,4 bedroom detached house for sale
3340,"Eleanor Way, Warley, Brentwood, Essex",31803000,4,2 bedroom apartment for sale
3341,"The Square, Chatham Way, CM14",148414000,3,4 bedroom detached house for sale
3342,"Crescent Drive, Shenfield, CM15",74207000,4,3 bedroom detached house for sale
3343,"Cricketers Row, Herongate, Brentwood",31166940,2,2 bedroom apartment for sale
3344,"Hart Street, Brentwood CM14",42404000,4,2 bedroom flat for sale
3345,"The Galleries, Warley, Brentwood, Essex, CM14 5GF",42404000,2,2 bedroom apartment for sale
3346,"The Clock Tower, Brentwood CM14",60955750,4,3 bedroom semi-detached house for sale
3347,"Warleywoods Crescent, Brentwood, Essex, CM14",31803000,3,2 bedroom apartment for sale
3348,"125-127 High Street, Brentwood, Essex",29682800,5,2 bedroom apartment for sale
3349,"Roth House, 125/127 High Street, Brentwood, Essex",39753750,4,3 bedroom terraced house for sale
3350,"Courage Walk, Hutton, CM13",63606000,4,2 bedroom detached bungalow for sale
3351,"Appletree Close, Doddinghurst, Brentwood, Essex, CM15",53005000,4,2 bedroom semi-detached house for sale
3352,"Catherine Close, Pilgrims Hatch, Brentwood, CM15",45054250,2,2 bedroom apartment for sale
3353,"Poplar Drive, Hutton, Brentwood",68906500,2,4 bedroom semi-detached bungalow for sale
3354,"Oliver Road, Shenfield, Brentwood",42404000,5,2 bedroom end of terrace house for sale
3355,"Ongar Road, Stondon Massey, CM15 0DZ",29152750,4,1 bedroom apartment for sale
3356,"Crescent Road, Warley, CM14",52474950,3,2 bedroom detached bungalow for sale
3357,"Sunray Avenue, Brentwood CM13",106010000,4,5 bedroom detached house for sale
3358,"St. Nicholas Grove, Ingrave, Brentwood, Essex, CM13",90108500,3,4 bedroom detached house for sale
3359,"Kensington Road, Pilgrims Hatch, Brentwood, Essex, CM15",82157750,3,3 bedroom bungalow for sale
3360,"Willingale Close, Hutton, CM13",29152750,3,2 bedroom apartment for sale
3361,"Cromwell Road, Warley, CM14",84277950,4,4 bedroom detached house for sale
3362,"St. Andrews Place, Shenfield, Brentwood",74207000,3,3 bedroom detached bungalow for sale
3363,"Blackmore Road, Doddinghurst, Brentwood",116611000,4,4 bedroom semi-detached house for sale
3364,"Cornsland, Brentwood, CM14",50354750,3,2 bedroom semi-detached house for sale
3365,"Roman Road, Mountnessing, Brentwood",68906500,3,4 bedroom detached house for sale
3366,"Ashwells Road, Pilgrims Hatch, Brentwood",45054250,3,2 bedroom terraced house for sale
3367,"Great Eastern Road, Warley, Brentwood",66256250,3,4 bedroom detached house for sale
3368,"Shepherds Hill, Romford",60955750,4,3 bedroom end of terrace house for sale
3369,"Roman Road, Mountnessing, Brentwood, CM15",79507500,1,5 bedroom semi-detached house for sale
3370,"Church Road, Kelvedon Hatch, Brentwood, Essex",84808000,2,4 bedroom detached house for sale
3371,"Spring Pond Meadow, Hook End, Brentwood, Essex, CM15",92758750,4,4 bedroom detached bungalow for sale
3372,"Shorter Avenue, Shenfield, Brentwood",74207000,4,4 bedroom detached house for sale
3373,"Wingrave Crescent, Brentwood, CM14",39753750,4,2 bedroom terraced house for sale
3374,"Roman Road, Mountnessing, Brentwood",52474950,3,2 bedroom apartment for sale
3375,"Alexander Lane, Shenfield, Brentwood, CM13",106010000,4,5 bedroom detached house for sale
3376,"Poplar Drive, Hutton, CM13",84808000,2,4 bedroom detached house for sale
3377,"Western Avenue, Brentwood, Essex, CM14",74207000,4,3 bedroom chalet for sale
3378,"Hook End Road, Hook End, Brentwood",74207000,4,4 bedroom detached house for sale
3379,"Flemings, Brentwood, Essex",37103500,3,3 bedroom maisonette for sale
3380,"Doddinghurst Road, Brentwood",87458250,4,3 bedroom semi-detached house for sale
3381,"Chelsea Way, Brentwood, CM14",50354750,1,3 bedroom semi-detached house for sale
3382,"Nursery Road, Hook End, Brentwood, Essex, CM15",84808000,2,4 bedroom detached house for sale
3383,"Beaumont Gardens, Hutton, CM13",29152750,3,3 bedroom apartment for sale
3384,"Colet Road, Hutton, CM13",74207000,3,4 bedroom detached house for sale
3385,"The Avenue, Brentwood",68906500,1,3 bedroom apartment for sale
3386,"The Galleries, Warley, Brentwood",76857250,4,3 bedroom detached bungalow for sale
3387,"Lower Road, Mountnessing, Brentwood",106010000,2,3 bedroom detached house for sale
3388,"Cricketers Lane, Herongate, Brentwood",74207000,3,3 bedroom detached house for sale
3389,Pilgrims Hatch,84277950,2,4 bedroom semi-detached house for sale
3390,"Sebastian Avenue, Brentwood CM15",28622700,3,1 bedroom apartment for sale
3391,"New Road, Brentwood, CM14",41873950,3,2 bedroom semi-detached house for sale
3392,"Waterloo Road, Brentwood, CM14",72086800,3,4 bedroom detached house for sale
3393,"Hook End Road, Hook End, Brentwood",132512500,5,4 bedroom detached house for sale
3394,"* SIGNATURE HOME * Hook End Road, Hook End",79507500,3,4 bedroom detached house for sale
3395,"Osborne Road, Pilgrims Hatch, Brentwood",58305500,3,3 bedroom end of terrace house for sale
3396,"Regent Way, Burntwood Square, Brentwood, Essex",124561750,5,4 bedroom detached house for sale
3397,"Sebastian Avenue, Brentwood CM15",45054250,2,2 bedroom apartment for sale
3398,"Thorndon Park, Ingrave, CM13",129862250,3,4 bedroom detached house for sale
3399,"Glanthams Road, Shenfield, Brentwood, CM15",74207000,4,4 bedroom semi-detached house for sale
3400,"Hogarth Avenue, Brentwood, Essex, CM15",42404000,2,3 bedroom terraced house for sale
3401,"Blackmore Road, Kelvedon Hatch, Brentwood",132512500,2,4 bedroom detached house for sale
3402,"Chelmsford Road, Brentwood CM15",26502500,1,1 bedroom apartment for sale
3403,"Essex House, Fairfield Road, Brentwood, Essex",60955750,6,2 bedroom detached house for sale
3404,"Station Road, West Horndon, Brentwood, Essex",53005000,3,3 bedroom semi-detached house for sale
3405,"Tomlyns Close, Hutton, CM13",63606000,3,3 bedroom detached house for sale
3406,"Outings Lane, Doddinghurst, Brentwood",21148995,2,1 bedroom retirement property for sale
3407,"Junction Road, Warley, Brentwood",159015000,4,4 bedroom detached house for sale
3408,"Hatch Road, Pilgrims Hatch, Brentwood",45054250,4,2 bedroom terraced house for sale
3409,"Weald Road, Brentwood, CM14",106010000,2,3 bedroom semi-detached house for sale
3410,"Priests Lane, Shenfield, Brentwood, CM15",29682800,4,2 bedroom maisonette for sale
3411,"Station Road, West Horndon, CM13",63606000,5,3 bedroom cottage for sale
3412,"Mores Lane, Bentley, Brentwood",66256250,2,3 bedroom detached house for sale
3413,"Wyatts Green Road, Wyatts Green, Brentwood",76857250,4,3 bedroom detached house for sale
3414,"Ashwells Road, Pilgrims Hatch, Brentwood",126681950,3,5 bedroom detached house for sale
3415,"Park Avenue, Brentwood CM13",66256250,5,3 bedroom detached house for sale
3416,"Brentwood Road, Ingrave, Brentwood, Essex, CM13",37103500,3,3 bedroom maisonette for sale
3417,"Doddinghurst Road, Brentwood, Essex",71556750,4,5 bedroom semi-detached house for sale
3418,"Barn Mead, Doddinghurst, Brentwood",45054250,4,2 bedroom house for sale
